sha256_original	path
228152d250729945c0f8b3310a02320a1fdedf933ec1272c60343d5f152abe0d	packages/docs/vite.config.ts
8553a67ba90ab87bda2da9864665f9c20f5b4bc042330ffc336ecf89c6ba06b5	packages/docs/vite.config.ts
d8181cfa527ab2307c3843a906d5899c29fc4938663c8a20d2b20a84f649fc5a	packages/docs/vite.config.ts
2fbfcfa72c81db68632f3fd7eca51158e42cd5c800be9143d592a80cf8d0af8b	packages/docs/vite.config.ts
22fc30b78b9027717cbd14ede68a08992990294ba6053895e64b6ee2622eb1ae	packages/vuetify/vite.config.mjs
fae0be335dcc1aef323a822416a87beb872f18e01a874d8647e16aa13c2708e3	packages/docs/vite.config.ts
626e5dcfba842651e5d52621412ef6c0680b3e180a6380cd4b9f6dbf0bd6494e	packages/vuetify/vite.config.mjs
fae0be335dcc1aef323a822416a87beb872f18e01a874d8647e16aa13c2708e3	packages/docs/vite.config.ts
626e5dcfba842651e5d52621412ef6c0680b3e180a6380cd4b9f6dbf0bd6494e	packages/vuetify/vite.config.mjs
ddc5f7aed784fe5623ee8c9412ae562dd94d5862fa4d1de5e76f2deab37cec99	packages/docs/vite.config.ts
0d0801c576e920507f28dd9587897b69bae1fbd0889afdb523a1deb8b47b799e	packages/docs/vite.config.ts
fd7356ba8b8b27836841644ee8a2e0018cc4716732256b3838e95e3d1e8f9cc1	packages/docs/vite.config.ts
b31f74ba95a078ddabb00a086e30cedae593f95e644ff2dc84a1869814fffb86	packages/docs/vite.config.ts
47eff8636c70af48c6ea6f052099134fbd414e46458b28e198204292b8dd0782	packages/docs/vite.config.ts
6c244670050628c4cea13904e378e7584686e2511751f6e6f4e11137b9029b48	packages/docs/vite.config.ts
776346b7480c9b8a5e8180a6be9e42720a23d085b5953d5b623820e9ea00ee1d	packages/vuetify/vite.config.mjs
0a8680ca20f38b8fe57f7d8a2000df7298f6f9a9a7094b36d7fbae534abdf949	packages/docs/vite.config.ts
c4a9ae03d4e6afe4e41e83b3c262393d079a212cb8c55d12b3fe984dfc5ba9bd	packages/docs/vite.config.ts
1c7ebe9a19baf08dfe0cb212b9395f5deba5cc15422eff60908b8c6007a1075a	packages/docs/vite.config.ts
d33ce6653c0a25d45b066484ef94ce1fbdcf3ac0f89c611a977b9c0068601f0b	packages/docs/vite.config.ts
5f70c95cf91247c8f6b00ba29acbcf3eb797828cd03fda942d2ea33d4f1c57da	packages/docs/vite.config.ts
e3b26e2a3065d5726ce2e23f29eb9ceb0d6a31249bc174f93b0b2756348fa597	packages/docs/vite.config.ts
9d3d1694037f15d7ba5eece2c130d356e1dc24f449c95f723ad235ec51479905	packages/vuetify/vite.config.mjs
f94edf48143ac3b7ea9be0ff6f15cc79b3b1416c539fef6bc9478a7334fd1e1b	packages/docs/vite.config.ts
3697495ea02339e8f155e6f0d6666585b7f66dcbec9656b97378c76642dad7c6	packages/vuetify/vite.config.mjs
a7c99388c4922f27474d576355d99701604462cbf724231ab444c058eaa951d2	packages/vuetify/cypress.config.ts
a3090f85d36883b6a0fdfda54d3e41428a9b7c1a6c518043e9f0acf6d191994a	packages/vuetify/vite.config.mjs
a72154cf2389f166c7d063867710e7d00a755e9b099ce7be279498ab8d091ece	packages/vuetify/cypress.json
b3cf46a1bbb9fd8ef04ea8c44b23121ce3ae7f52cc952b1dd8351366384c83e4	packages/docs/vite.config.ts
c9a7d562c0e667a9e54b37496204cc3fd9b229b29476d7931db6b05f79938bcd	packages/docs/vite.config.ts
78cf079bbc1892fd89d9f98222e0e6a3e2518ab1be56a3c34aa68fc3c7d47bc1	packages/docs/vite.config.ts
b6409401653e9f42ddf304c3036b1c1fe0e118aa04fb2122b4cf089890ca7720	packages/docs/vite.config.ts
e7ad009cf3ecf9b20d9310e8fe6cf1f72cac2e064a8cc7a9f3e78ec0a4dd8dd2	packages/vuetify/cypress/support/index.ts
37379f5dd09d14ceb2c69f40a1b301bc968aac504a510d6c60a0c0d6ba557d91	packages/vuetify/vite.config.mjs
5c1205c1e40e18e1244e0759fdaeb643316dc84c692d3610ef30dcc6906c6835	packages/vuetify/cypress/support/index.ts
6cdd5f398303ca556a9ef3907acf7d294489c891e8b7d2e67e5b7dee794c163c	packages/docs/vite.config.ts
e377c77ac7f6296ab91ba22bb4a0cfe4f0503b6a54d8960a1a27582cc089e0c9	packages/docs/vite.config.ts
7a4621ade986f08883941281e4534be63a07978cba7b148124a28852f2814652	packages/docs/vite.config.ts
8e9be1c04672e16bcd93930fe471962fb53dd90171ed309c1745d0b7e22c05ee	packages/vuetify/vite.config.mjs
f751ff99a32ee57021e738a5946d3bb4439124025e0e4cbd3d7bbc6a4348fd11	packages/vuetify/cypress.json
e47ca6cdc643f99308e603440bc1ed43330b4ab2ca9a29861e0d2c2f4610adcb	packages/vuetify/cypress/support/index.ts
2c84f3a8a33827566d4eaa06478c88eedff880cc0f7406dcd1f4f1d2cb84723b	packages/vuetify/vite.config.js
2bce25ab276177d72e1d37f86d8793e0e2be68870ae988e2ac3e85cefbd36f6b	packages/vuetify/vite.config.js
0370e843c25669152ab3f090291b8b134e667760a6e05a73ada4146b2b5119ce	packages/vuetify/cypress/support/index.ts
b0445b53e01b89b2680dfb7eb90579991de6d7677e89b4036e2284f67d3a9b24	packages/vuetify/cypress/support/index.ts
0f25303c25062a190ce79f0714b6c0f440319aa377f72a46ffb7f83c06fd444b	packages/vuetify/vite.config.js
e257a265935efc5f1861392011b929400961c8dba5a592839e1cb612607aa7bf	packages/vuetify/cypress/support/index.ts
8743fed7cecc0e295b9de4bd8be363fd04474a7d4613e518f0b69c546c8c652b	packages/vuetify/vite.config.js
4eb8854832be0aa8e26135c8c64dc707b7d42f4fbcf5625181ae08b7086a34e2	packages/vuetify/cypress.json
6b845420db24243a782ced47789dc3de00f258c5f384a6fabc941c2b7da05f0e	packages/vuetify/cypress.json
10912ee5c2124aa59c8c76694baba0442c70050488f78002c9330557e9829ce7	packages/vuetify/cypress/plugins/index.js
329407c793251b9862567c2c855049b5b73b785147b406e0928f3281bf403306	packages/vuetify/cypress/support/index.ts
96126686650a6b3bc2375095e92a00cc4d68f053d9e71a4a969f903084f0e22f	packages/vuetify/cypress.json
6a04eabf93f0e5a94276eb9b61637f5b1aa11c382170eea27ec3c0978dcd1a59	packages/vuetify/cypress/plugins/index.js
daacc7584c905b8ba7623ce00d31f720bda21b3ed1f4f1c0c3d23669521dfe15	packages/vuetify/cypress/support/index.js
d5ce1c7f9b91abf5d77cc3ad0a4c2047ad6c816441c3bce837437dd8873188d5	packages/vuetify-rollup/vite.config.js
40203c0b407f35893dfbc59acd62e0cadcc0f2bd0ba2383010ea93cda16abec5	packages/vuetify-rollup/vite.config.js
0168883db11d680a2c116b792786ae5174cc7dd84dfccf590578aa3f9a8772ad	packages/kitchen/cypress.json
752d7c1127272d92f5b7bac208ac429ab1530a5f1a159908063d60fd0d5a2f5a	packages/kitchen/cypress/plugins/index.js
b902716b089f7b2b07a99c9061faad1c1ec56e3fe2865457248ba4b64e3befc3	packages/kitchen/cypress/support/index.js
